Português,Tupi Antigo
cria de seus animais,gûeîmbaba îeapyká
teu sêmen ejaculado,nde ra'y-pupuka
Encolho-me,Aîeapûapyk
Vôo como este vento,Abebé kó ybytu îá
Do amor a Deus encheu suas almas,Tupã raûsuba resé i 'anga porakari
"Mas eu, tendo saudades de ti, quero-te muito bem","Xe-te, nde repîaka'upa, oroamotá-katu"
Eu sou mestre,Morombo'esara ixé
A gente o honra mesmo como a seu próprio pai?,Og uba îakatu tenhẽpe asé i moetéû?
Deus somente seja a causa de temor ao diabo,Tupã anhõ Anhanga sykyîabamo t'oîkó
"Seu sangue era muito, oprimindo sua alma","Sugûy turusu, i 'anga apypyka"
"Logo depois de dizer aquilo para ele, lançou o pagamento por seu senhor no templo, indo finalmente enforcar-se","Aîpó oîoupé 'é abé, o îara repypûera reîtyki Tupãokype aûîé osóbo oîeaîubyka"
Fez Nosso Senhor algum diante dele?,Oîmonhangype Îandé Îara amõ sobaké?
"Indo para fora, deixando de ouvir missa","Kûepe osóbo, missa renduba reîá"
rapazes muito fortes,kunumĩûasu-atã-atã
Eu tenho nome,Xe rer
"Detesta-te, emenda-te","Eîeroŷrõ, enhemomotiasó"
Os que moram em Maratauá acreditam em minhas palavras,Marataûãme tekoara ogûerobîá xe nhe'enga
Deixaste de ouvir a missa?,Ereîmopanemype missa renduba?
Esbofeteei a nuca dele,Aîatuá-petek
Eu babo,Xe rendysyryk
Oxalá ela estivesse sem roupa!,Ikatupe nhẽ temõ mã!
Amortalhei-os,Aîapyear
Faço lisonjas ao homem,Anhemokunu'unu'uma'ub abá resé
Eu estou amargo,Xe 'ak
o que entra para junto de mim,xebe teîkeara
"Após nossa perdição, Deus fez uma mulher bondosa","Îandé kanhem'iré, Tupã amõ kunhãngatu monhangi"
Vem para me encontrar,Eîori xe repenhana!
Ele está azedo demais,Saîasy
Quem foi o que o entregou?,Abápe i me'engarama?
Esbofeteaste as têmporas de alguém?,Ereî'atypetekype amõ abá?
Ser cordato com um pequeno proceder no mal de alguém,Abá marã sekoagûerĩ resé nherane'yma
