source,reference,translation
Mostram-se a urdir mentiras,E'i mo'ema monhanga,Oîoîoîoîeby-potá-potá
A morte somente é a causa de afastá-los,Te'õ anhõ i mombo'isaba,Te'õ rakó i mo'angaîpaba
Eu sobrei,Xe rembyr,Xe aîuká
Retribuí o que ele escreveu,Aîpoepyk semikûatiara,Aîmoapy'a rupi aîpó
"Depois disso, o cauim transbordante nas igaçabas atrai-os","Ygasápe kaûĩ-tuîa, a'e ré, îamomotá","A'e rekóû, kaûĩ-îuká kaûĩ i xuí"
Não ficam receosos os outros de não serem objetos do perdão de Deus?,N'oîkotebẽî amõba'e Tupã nhyrõsabe'yma?,Nd'e'ikatuîpe abá resé Tupã nhe'enga rerekóû?
estando aflito,tekotebẽboramo oîkóbo,gûyrá-potá
Não sabia do perdão de Deus a mim,N'aîkuabi ixébo Tupã nhyrõagûera,Nd'e'ikatuî Tupã resé xe resé resé
argola de ferro,itá-apynha,ybyrá
"Tendo saudades do neném, vim de minha casa","Pitangĩ repîaka'upa, aîur xe roka suí","Nenem oîepe'yma, aîpó xe roka resé"
ferimentos mútuos,îoapixaba,gûyrá-yrá
"Eia, roga por nossa virtude!",Katunhẽ eîerurébo oré katûagûama ri!,"Ene'ĩ, îandé remikatu rekóû!"
Fiz-me homem,Anhemoabá,Aîmonhang
Vamos a terra,T'îasó ybyetépe,T'îasó yby
grão de farinha,U'i-esakytã,gûyrá-yrá
Deus deixou de amá-los,Tupã osaûsupe'a,Tupã i moingóbo
Fazendo as pessoas beberem cauim ou dando-lhes de beber,Abá mongagûabo koîpó se'yma,Kagûápe kagûabo i moîaîukábo
Constituímos-te chefe,Oromoingó tubixabamo,Oroîopûar nde remirekó
Estiro-me,Aîetu'u,Aîuká
"à tona d'água, na superfície da água",y-ape'ara rupi,ybybype
"Transgridem, certamente, algumas vezes, somente",Oîaby ipó amõme é,Erimba'e nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ nhẽ
"o que tem nome Guaixará, o chamado Guaixará",Gûaîxará seryba'e,Gûaîxará
o oposto daqueles pecados,aîpó tekoangaîpaba robaîara,i angaîpaba pupé
"Eu sou um mísero índio, de fato",Xe abá-aibĩ anhẽ,Xe nhe'ẽ gûixóbo
Cortaram seu prepúcio,I 'apira mondoki,Oîoîoîa'ok i popûá
"É mole, está sob as mãos do diabo","I membek, Anhanga pó gûyrybo nhẽ sekóû","Oîoîoîeby, oîoîoîoîebyba'e"
Os homens pecadores mataram São Mateus,Abá angaîpabora São Mateus îukáû,Abá angaîpaba resé São Mateus suí
Confiando na formosura de muitos de si,O matueté aysó resé é oîerobîá,Opá resé o îoesé rekóû
em sua terra,setãme,se'õ resé
forno de cal,itaku'i-apŷaba,taûîé-katu
"E quanto a ti, Boiuçu?","Marãpe nde, Mboîusu?","A'epe nde ruã, Boiuçu?"
"Que estejamos perto de ti, espantando nossos inimigos","T'oroîkó nde ypype nhẽ, oré sumarã mondyîa","T'orondé nde remirekó, îandé ratá repîaka"
Atravessam suas mãos juntamente com seus pés,Îaîpó-asá-sá i py resebé,Oîoîoîoîoîeby o pópe o pópe
Eu não sou padre,Na abaré ruã ixé,Na xe rekó
Aquele padre que te batiza dá uma vela na tua mão,A'e abaré nde mongaraipara iraîtytataendy me'engi nde pópe,Aîpó taûîé nde rapixara te'õ nde pópe
fundura dele,typy,i aîuká
Cuidado ao esconder-lhe o que faz,Tîaté i mĩme i xupé marã oîkóbo,Aîmoapy'a rupi aîmoeté
Elas estão sempre cheias,Tynysẽ memẽ,I xuí i xuí
entalhe da flecha,u'uba nhã,ybybyra
Isso o Senhor Deus não quer,Ianga Pa'i Tupã n'oîpotari,Aîpó Tupã Tupã n'i angaîpaba
Eu estou muito desfigurado,Xe té xe té,Xe nhe'ẽ-te'ẽ
Pelo sinal da Santa Cruz livra-nos tu,Santa Cruz ra'angaba resé oré pysyrõ îepé,Santa Cruz rekóû îandé moîuká nde resé
Detestando-os mais que tudo o que deve ser lamentado e o que se deve detestar neste mundo,"Seroŷrõmo opakatu ikó 'ara pupé i moasypyra, seroŷrõmbyra sosé",I angaîpaba'e oîmoîa'u-katu îandé 'ara pupé oîmoa'u-katu îandé 'ara pupé
"NANAÚ, NANAUÍ, licor de ananás, bebida fermentada que os índios faziam com tal fruta",naná-'y,"NANAÚ, NANAUÍ, ananá reîá, kagûara abá 'anga pupé 'îara"
Querendo abertos os buracos das orelhas da gente,Asé apysakûá-puka potá,Tekó-potá-potá
Eu não sei,Na xe tekokuabi,Na xe rekóî
Não foi à toa que os feriados surgiram para nós como um intercalação no trabalho,Na tenhẽ ruã 'areté marãtekoaba ri oîoparabamo 'ari îandébo,Nd'e'i te'e îandé rerekoara îandé rerekoara îandé rerekóbo
Dei-o por dar,Aîme'engĩ,Aîmonhang
Faze-me tu valente para que eu me oponha ao maldito,"Xe mopyatã îepé, t'apu'am muru resé",Nde rerobîarõ xe rerobîarõ t'amombe'u xe rerobîar
Num dia semelhante a este,Kó 'ara nungara pupé,Kó 'ara rekóû i xupé
Não diferem uns dos outros,N'oîkoéî o îosuí,N'aîpotare'ym-uká
Enfeixei-os,Anhoman,Aîmonhang
Dou laçadas nela,Aîmokusambar,Aîaîa'ok
"Sofreu, suportando o fogo, tendo alegria após sua morte","Sosang, tatá porarábo, o manõ riré toryba rerekóbo",Oîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoype
vencedora,moroîtykara,emonãîa
Eh! Onde ele está?,Tó! Mamõpe ahẽ rekóû?,Îé! Umãpe sekóû?
O que fica escarnecendo das pessoas,Oporokurá-kuraba'e,Oîoîoîoîoîoîoîoîoîoîoîoa
"Queimo-te hoje, como de costume!","Oroapy kori, îandu!",Nde resé t'ere'õ kori!
Tomai este meu sangue como vosso resgate,Peîar kó niã xe rugûy pe repyramo,Aîpotar nde rekó xe ra'yra îepé
melado ou mel de cana-de-açúcar,u'ubae'ẽ eíra,itá-ytá-ytá
"Foram terríveis contra os malditos as flechas de São Sebastião, com São Lourenço também","I abaeté muru supé São Sebastião ru'uba, São Lourenço pyri bé","I muru-eté muru muru São Sebastião 'arybo, São Lourenço serã îabé"
nosso pai verdadeiro,îandé rubeté,îandé ruba
"Tu és a manhã, causa verdadeira da alegria do dia","Nde ko'ema, 'ara rorypabeté","Nde ranhẽ, 'ara rekopûera resé"
"Após entrarem em colapso o sol, a lua, a terra, o mar, então os anjos vêm","Kûarasy, îasy, yby, paranã rekomemûã roiré a'ereme karaibebé ruri","Ybype solã, yby, te'õ, marã, taûîé anhanga îaîuká"
Eu tenho a extremidade pontuda,Xe rapûá-obyr,Xe 'a-'a-'a
para cá olhando furtivamente,kûybõ oma'ẽ-nhemima,a'e-potá-potá
Aqui estou eu,Kobé aîkó,Kó xe rekóû
"Além disso, atrai-os o cauim transbordante nas igaçabas",Ygasápe kaûĩ-tuîa a'e ré îamomotá,"A'eîme'enga suí, i xuí kaûĩ-aîuba suí i xuí"
"de lado, de ilharga",o ykébo,iîuká
