source,reference,translation
E'i mo'ema monhanga,Mostram-se a urdir mentiras,É verdade que a morte está em mente
Te'õ anhõ i mombo'isaba,A morte somente é a causa de afastá-los,"A morte, de fato, é causa de morte"
Xe rembyr,Eu sobrei,Eu tenho o pescoço
Aîpoepyk semikûatiara,Retribuí o que ele escreveu,Afastei-me de minha compadeça
"Ygasápe kaûĩ-tuîa, a'e ré, îamomotá","Depois disso, o cauim transbordante nas igaçabas atrai-os","O cauim-agua nas excavações, depois disso, mata"
N'oîkotebẽî amõba'e Tupã nhyrõsabe'yma?,Não ficam receosos os outros de não serem objetos do perdão de Deus?,Não afligem ninguém os que Deus não condena?
tekotebẽboramo oîkóbo,estando aflito,a que tem a vida escondida
N'aîkuabi ixébo Tupã nhyrõagûera,Não sabia do perdão de Deus a mim,Não tenho a vontade de ver a Deus
itá-apynha,argola de ferro,canoa de madeira
"Pitangĩ repîaka'upa, aîur xe roka suí","Tendo saudades do neném, vim de minha casa","Seguindo o rastro de pitangós, vim de minha casa"
îoapixaba,ferimentos mútuos,"o que é enfeitado, enfeitado"
Katunhẽ eîerurébo oré katûagûama ri!,"Eia, roga por nossa virtude!",Lembra-te de nossa virtude!
Anhemoabá,Fiz-me homem,Fiquei-o
T'îasó ybyetépe,Vamos a terra,Vamos para o céu
U'i-esakytã,grão de farinha,"Enfim, enfim, enfim"
Tupã osaûsupe'a,Deus deixou de amá-los,Amando a Deus
Abá mongagûabo koîpó se'yma,Fazendo as pessoas beberem cauim ou dando-lhes de beber,Fazendo as pessoas ficarem sem ele
Oromoingó tubixabamo,Constituímos-te chefe,Vamos como tubis
Aîetu'u,Estiro-me,Fiquei-o a comer
y-ape'ara rupi,"à tona d'água, na superfície da água",pelo rio
Oîaby ipó amõme é,"Transgridem, certamente, algumas vezes, somente","Afastou-se, de costume, outrora"
Gûaîxará seryba'e,"o que tem nome Guaixará, o chamado Guaixará",O que tem o nome de Guaixará
aîpó tekoangaîpaba robaîara,o oposto daqueles pecados,os que são portadores daqueles pecados
Xe abá-aibĩ anhẽ,"Eu sou um mísero índio, de fato",Eu sou homem aflito
I 'apira mondoki,Cortaram seu prepúcio,O que está no meio dele
"I membek, Anhanga pó gûyrybo nhẽ sekóû","É mole, está sob as mãos do diabo","Sembrando-o, o diabo é o que está no céu"
Abá angaîpabora São Mateus îukáû,Os homens pecadores mataram São Mateus,O maldito de pessoa São Mateus mata
O matueté aysó resé é oîerobîá,Confiando na formosura de muitos de si,Tendo vontade de ir para seu próprio caminho
setãme,em sua terra,"por aí, por aí"
itaku'i-apŷaba,forno de cal,flanco de flanco de flanco
"Marãpe nde, Mboîusu?","E quanto a ti, Boiuçu?","Que fazes tu, Mboîusu?"
"T'oroîkó nde ypype nhẽ, oré sumarã mondyîa","Que estejamos perto de ti, espantando nossos inimigos","Que esteja junto de ti, apressando nossos inimigos"
Îaîpó-asá-sá i py resebé,Atravessam suas mãos juntamente com seus pés,Fazer-se-ão-se-ão-se-ão uns aos outros
