source,reference,translation
Mostram-se a urdir mentiras,E'i mo'ema monhanga,Ha'ekuéra he'i hikuái ijapuha
A morte somente é a causa de afastá-los,Te'õ anhõ i mombo'isaba,Tekove anhónte omomýi ichupekuéra
Eu sobrei,Xe rembyr,Che apyta
Retribuí o que ele escreveu,Aîpoepyk semikûatiara,Ajepy'amongeta ha'e ohai va'ekuére
"Depois disso, o cauim transbordante nas igaçabas atrai-os","Ygasápe kaûĩ-tuîa, a'e ré, îamomotá","Upe rire, ko'ã ka'uíno oïva umi ka'aguýpe oguerohory chupekuéra"
Não ficam receosos os outros de não serem objetos do perdão de Deus?,N'oîkotebẽî amõba'e Tupã nhyrõsabe'yma?,¿Ndépa ndokyhyjéi hapichakuéra ndoguerekóiramo Nhandejára perdón?
estando aflito,tekotebẽboramo oîkóbo,Onhenhandu vai jave
Não sabia do perdão de Deus a mim,N'aîkuabi ixébo Tupã nhyrõagûera,Ndaikuaái Nhandejára cheperdonaha
argola de ferro,itá-apynha,Argola de hierro
"Tendo saudades do neném, vim de minha casa","Pitangĩ repîaka'upa, aîur xe roka suí","Ahechaga'úgui mitãkuimba'e, aju che rógagui"
ferimentos mútuos,îoapixaba,Nhembyasy ojoapytépe
"Eia, roga por nossa virtude!",Katunhẽ eîerurébo oré katûagûama ri!,¡Enhembo'e nhande rekojoja rehe!
Fiz-me homem,Anhemoabá,Aiko kuimba'e ramo
Vamos a terra,T'îasó ybyetépe,Jaha yvy gotyo
grão de farinha,U'i-esakytã,ha'éva:
Deus deixou de amá-los,Tupã osaûsupe'a,Nhandejára ndohayhuvéima chupekuéra
Fazendo as pessoas beberem cauim ou dando-lhes de beber,Abá mongagûabo koîpó se'yma,"Ojapóvo umi héntepe ho'u koina, térã ome'ẽvo chupekuéra ho'u haguã"
Constituímos-te chefe,Oromoingó tubixabamo,Roiporavo ndehegui mburuvicha
Estiro-me,Aîetu'u,Anhemboja'o
"à tona d'água, na superfície da água",y-ape'ara rupi,"yguasu yguasu ári, yguasu yguasu ári"
"Transgridem, certamente, algumas vezes, somente",Oîaby ipó amõme é,Ha'ekuéra katu sapy'ánte omboyke.
"o que tem nome Guaixará, o chamado Guaixará",Gûaîxará seryba'e,"upe hérava Guaixará, hérava Guaixará"
o oposto daqueles pecados,aîpó tekoangaîpaba robaîara,Mba'e ojoavýva umi mba'e vai
"Eu sou um mísero índio, de fato",Xe abá-aibĩ anhẽ,"Che niko peteî indio vaiete, anhetehápe."
Cortaram seu prepúcio,I 'apira mondoki,Ha'ekuéra oipe'a inhakãme
"É mole, está sob as mãos do diabo","I membek, Anhanga pó gûyrybo nhẽ sekóû","Ha'e ipy'aguapýva, inhanháva pópe"
Os homens pecadores mataram São Mateus,Abá angaîpabora São Mateus îukáû,Umi kuimba'e angaipa va'ekue ojuka San Mateo
Confiando na formosura de muitos de si,O matueté aysó resé é oîerobîá,Ojerovia heta mba'e porã rehe
em sua terra,setãme,ipahápe
forno de cal,itaku'i-apŷaba,mba'yrumýi
"E quanto a ti, Boiuçu?","Marãpe nde, Mboîusu?","¿Mba'eichaguápa ndéve, Boiuçu?"
"Que estejamos perto de ti, espantando nossos inimigos","T'oroîkó nde ypype nhẽ, oré sumarã mondyîa","Roime haguã nde ykére, ronhemondýi haguã nhane enemigokuérape"
Atravessam suas mãos juntamente com seus pés,Îaîpó-asá-sá i py resebé,Ohasáva ipógui ipoguýpe.
Eu não sou padre,Na abaré ruã ixé,Che ndaha'éi pa'i
Aquele padre que te batiza dá uma vela na tua mão,A'e abaré nde mongaraipara iraîtytataendy me'engi nde pópe,Pe pa'i omomorãva nde pópe ome'ê nde pópe peteî vela
fundura dele,typy,ho'u haguã
Cuidado ao esconder-lhe o que faz,Tîaté i mĩme i xupé marã oîkóbo,Enhatendéke nderejeheʼái haguére chupe mbaʼépa rejapo
Elas estão sempre cheias,Tynysẽ memẽ,Opa ára henyhẽ hikuái
entalhe da flecha,u'uba nhã,yvyra michĩva
Isso o Senhor Deus não quer,Ianga Pa'i Tupã n'oîpotari,Upéva Nhandejára ndoipotái
Eu estou muito desfigurado,Xe té xe té,Che anhe'ẽ vaieterei
Pelo sinal da Santa Cruz livra-nos tu,Santa Cruz ra'angaba resé oré pysyrõ îepé,"Santa Cruz nhe'ẽ reheve, ejoko orehegui"
Detestando-os mais que tudo o que deve ser lamentado e o que se deve detestar neste mundo,"Seroŷrõmo opakatu ikó 'ara pupé i moasypyra, seroŷrõmbyra sosé",Ovy'avéva opaite mba'e ojepy'apyva'erã ha ojepy'apyva'erã ko yvy ape ári.
"NANAÚ, NANAUÍ, licor de ananás, bebida fermentada que os índios faziam com tal fruta",naná-'y,"NANAU, NANAUÍ, licor de pinha, bebida fermentada umi indio ojapo va'ekue ko'ã yva rehe"
Querendo abertos os buracos das orelhas da gente,Asé apysakûá-puka potá,Ha'e oipe'a haguã nhande korasõ mbyja
Eu não sei,Na xe tekokuabi,Che ndaikuaái
Não foi à toa que os feriados surgiram para nós como um intercalação no trabalho,Na tenhẽ ruã 'areté marãtekoaba ri oîoparabamo 'ari îandébo,Ndaha'éi mba'evaipo'ỹre ko'ã ára pytu'uha ojejuhu nhanderehehápe ha'eha tembiapo nhemongu'e.
Dei-o por dar,Aîme'engĩ,Ame'ẽ chupe ame'ẽ haguére
